SPIN_RESULT
Lg_purch
Dep
100 sats
100 sats
0.75%
1.5%
0.25%
100 sats
0.5%
Lg_purch
100 sats
3%
2%
0.75%
0.75%
100 sats
0.75%
2 spins
0.25%
0.75%
2 spins
1.5%
Dep
0.5%
1.5%
100 sats
0.75%
5%
1.5%
Lg_purch
0.5%
0.5%
Lg_purch
2%
1.5%
0.25%
2 spins
Dep
0.5%
0.75%
2%
0.25%
Purch
Purch
2%
Lg_purch
0.75%
100 sats
1.5%
3%
0.75%
0.5%
3%
0.75%
Lg_purch
0.75%
2%
0.25%
0.75%
1.5%
2%
0.25%
2%
Lg_purch
2%
Lg_purch
2 spins
0.5%
100 sats
1.5%
100 sats
2%
0.5%
1.5%
2 spins
1.5%
2%
Dep
1.5%
0.25%
Lg_purch
Purch
0.5%
2%
2 spins
2%
0.25%
0.75%
0.75%
0.25%
2 spins
0.5%
1.5%
1.5%
0.5%
1.5%
0.75%
2 spins
0.5%
3%
0.75%
0.5%
Purch
2%
1.5%
Lg_purch
2 spins
2 spins
Dep
0.75%
1.5%
2 spins
Lg_purch
0.75%
2 spins
2%
1.5%
4%
4%
1.5%
1.5%
3%
0.5%
0.5%
1.5%
100 sats
0.75%
2 spins
100 sats
0.25%
1.5%
2 spins
0.75%
2%
0.25%
0.25%
0.5%
0.75%
1.5%
2%
Dep
2 spins
1.5%
1.5%
1.5%
0.5%
2 spins
2%
0.25%
1.5%
0.75%
2 spins
1.5%
0.5%
1.5%
0.25%
2%
Dep
2 spins
0.5%
0.5%
2%
3%
0.5%
Lg_purch
0.75%
2%
Purch
1.5%
Dep
100 sats
1.5%
0.5%
0.5%
3%
100 sats
Lg_purch
2 spins
0.25%
0.75%
1.5%
1.5%
2%
100 sats
0.75%
4%
