SPIN_RESULT
1%
1.5%
Purch
Purch
1%
2%
0.5%
2%
1%
1%
1.5%
0.5%
Purch
0.75%
2%
Purch
1.5%
1%
1%
1%
Card
0.5%
1.5%
Card
Purch
0.75%
Purch
Purch
Purch
0.5%
Purch
Card
2%
Purch
1%
Card
Card
2%
0.75%
1%
2%
0.5%
1.5%
