SPIN_RESULT
Dep
0.75%
0.75%
2%
1.5%
1.5%
0.75%
0.75%
Purch
1.5%
Dep
1%
Lg_purch
0.75%
1.5%
Lg_purch
3%
0.5%
0.25%
1.5%
Purch
1%
1.5%
1%
0.75%
Purch
Purch
1.5%
1%
100 sats
0.75%
2 spins
Lg_purch
Dep
0.25%
Purch
Dep
0.75%
