SPIN_RESULT
4%
0.5%
2%
5%
2%
1%
5%
0.5%
Dep
3%
2%
0.5%
0.5%
0.5%
0.5%
2%
0.5%
0.5%
0.5%
1%
1%
2%
5%
0.5%
1%
2%
1%
1%
1%
Purch
2%
5%
10%
2%
5%
0.5%
4%
3%
0.5%
Purch
0.5%
0.5%
1%
2%
0.5%
Dep
Dep
2%
0.5%
0.5%
5%
2%
0.5%
1%
0.5%
Purch
0.5%
0.5%
0.5%
0.5%
0.5%
3%
0.5%
1%
2%
0.5%
Spins
Purch
0.5%
0.5%
0.5%
2%
0.5%
0.5%
1%
0.5%
0.5%
0.5%
0.5%
3%
1%
0.5%
1%
0.5%
0.5%
0.5%
0.5%
4%
