SPIN_RESULT
1.5%
0.75%
1.5%
Dep
100 sats
100 sats
1%
Dep
Lg_purch
Dep
0.5%
1.5%
Purch
0.75%
0.75%
100 sats
1.5%
0.25%
Dep
1%
0.75%
0.5%
1%
Lg_purch
1%
1.5%
1%
0.25%
0.75%
2%
1.5%
2 spins
Lg_purch
0.5%
0.25%
2%
Lg_purch
1%
Purch
1%
2%
0.75%
1%
0.5%
1%
2 spins
0.5%
0.5%
1.5%
0.25%
0.75%
Purch
0.75%
100 sats
2%
2%
1%
0.25%
2 spins
100 sats
100 sats
0.75%
1%
Dep
1.5%
Lg_purch
0.25%
0.5%
Purch
0.75%
Lg_purch
Purch
100 sats
1%
1%
0.75%
1.5%
1.5%
1.5%
0.75%
0.25%
100 sats
0.75%
0.25%
2 spins
Purch
