SPIN_RESULT
1.5%
1.5%
100 sats
3%
2 spins
2 spins
Bal
1.5%
0.75%
4%
0.5%
2 spins
0.75%
Purch
2 spins
Bal
2%
0.25%
1.5%
100 sats
Bal
2 spins
Lg purch
0.5%
2 spins
1.5%
Lg purch
100 sats
2 spins
0.5%
0.25%
100 sats
Lg purch
0.25%
Bal
1.5%
1%
0.75%
1.5%
1.5%
Purch
0.5%
0.75%
